,pw,pwsg,Pwsg no area,Pwsg no edge,Pwsg no traj,
,1,0.70035845,0.183,0.46130952,0.5185407,
,0.775,0.8055556,0.342,0.24193548,0.51,
,0.915,0.6422525,0.383,0.029478459,0.8027273,
,1,0.56953406,0.315,0.0,0.79591835,
,0.855,0.52640414,0.371,0.38867188,0.23068182,
,0.954,0.95098037,0.723,0.0,0.5359147,
,0.96,0.77645504,0.268,0.47763348,0.35149062,
,0.784,0.533179,0.595,0.33714285,0.585578,
,0.939,0.58428574,0.266,0.005973716,0.77272725,
,0.936,0.80176765,0.352,0.19064577,0.82908165,
,0.816,0.6265432,0.521,0.9368132,0.7676471,
,0.967,0.9390625,0.107,0.0,0.7233124,
,0,0.86755955,0.445,0.45228758,0.36805555,
,0.75,0.73295456,0.524,0.0,0.56209415,
,0.876,0.80625,0.525,0.4900568,0.5543346,
,0.907,0.47941175,0.493,0.003125,0.69146824,
,0.845,0.5011574,0.569,0.71825397,0.6043599,
,0.913,0.7255245,0.446,0.1068752,1.0,
,0.903,0.8993056,0.766,0.0,0.6672619,
,0.875,0.82706094,0.510,0.44179687,0.37890625,
,0.745,0.53675216,0.457,0.44047618,0.47707337,
,0.648,0.8035714,0.413,0.3864469,0.8466667,
,0.949,0.8075,,0.31919643,0.53807694,
,0.795,0.84705883,0.34,0.12642045,0.7776923,
,0.839,0.9013606,0.146,0.14428571,0.7164502,
,1,0.64172333,0.331,0.38492063,0.29175,
,0.948,0.8613281,0.259,0.21323529,0.6668956,
,0.919,0.6308167,0.562,0.091145836,0.698489,
,0.765,0.76719576,0.335,0.6932127,0.840625,
,0.646,0.8489583,0.197,0.37121212,0.604,
,0.826,0.6755952,0.475,0.2934473,0.503663,
,,0.7775,,0.44375,,
,,,0.0251594586206897,,0.0336812811377477,
,,0.0197313251462372,,0.0609347508226576,,
,0.0344589014778325,,,,,
,,,0.344,,,
,,,0.213,,,
,,,0,,,
,,,0.459,,,
,,,0.221,,,
,,,0.149,,,
,,,0.245,,,
,,,0.221,,,
,,,0.025,,,
,,,0.271,,,
,,,0.798,,,
,,,0.272,,,
